Name,Internal name,ID,Category,Set
The Beheaded's Trousers,DeadCellsBeheadedLegs,5459,Vanity Set,The Beheaded's set
The Doctor's Shirt,TheDoctorsShirt,325,Vanity Set,The Doctor's set
The Doctor's Pants,TheDoctorsPants,326,Vanity Set,The Doctor's set
Timeless Traveler's Hood,TimelessTravelerHood,5051,Vanity Set,Timeless Traveler's set
Timeless Traveler's Cloak,TimelessTravelerRobe,5052,Vanity Set,Timeless Traveler's set
Timeless Traveler's Footwear,TimelessTravelerBottom,5053,Vanity Set,Timeless Traveler's set
Tuxedo Shirt,TuxedoShirt,240,Vanity Set,Tuxedo set
Tuxedo Pants,TuxedoPants,241,Vanity Set,Tuxedo set
Victorian Goth Hat,VictorianGothHat,4708,Vanity Set,Victorian Goth set
Victorian Goth Dress,VictorianGothDress,4709,Vanity Set,Victorian Goth set
Wandering Jingasa,RoninHat,5048,Vanity Set,Wandering set
Wandering Yukata,RoninShirt,5049,Vanity Set,Wandering set
Wandering Geta,RoninPants,5050,Vanity Set,Wandering set
Wedding Veil,TheBrideHat,3478,Vanity Set,Wedding set
Wedding Dress,TheBrideDress,3479,Vanity Set,Wedding set
White Tuxedo Shirt,WhiteTuxedoShirt,1288,Vanity Set,White Tuxedo set
White Tuxedo Pants,WhiteTuxedoPants,1289,Vanity Set,White Tuxedo set
