Image,Name,Damage,Damage type,Knockback,Critical chance,Use time,Rarity,Autoswing,HM,,ID,Internal name
Gold Broadsword item sprite,Gold Broadsword,15,Melee,6.5,4%,18,White (Rarity level: 0),❌,❌,18,3520,GoldBroadsword
Gold Hammer item sprite,Gold Hammer,9,Melee,5.5,4%,28,White (Rarity level: 0),✔️,❌,16,3517,GoldHammer
Gold Pickaxe item sprite,Gold Pickaxe,6,Melee,2,4%,20,White (Rarity level: 0),✔️,❌,20,3521,GoldPickaxe
Gold Shortsword item sprite,Gold Shortsword,12,Melee,5,4%,11,White (Rarity level: 0),❌,❌,14,3519,GoldShortsword
Golden Shower item sprite,Golden Shower,30,Magic,4,4%,18,Light Red (Rarity level: 4),✔️,✔️,4,1336,GoldenShower
Golem Fist item sprite,Golem Fist,90,Melee,12,4%,24,Lime (Rarity level: 7),✔️,✔️,7,1297,GolemFist
Gradient item sprite,Gradient,49,Melee,3.8,4%,25,Orange (Rarity level: 3),❌,✔️,4,3316,Gradient
Gravedigger's Shovel item sprite,Gravedigger's Shovel,12,Melee,3.5,4%,22,Blue (Rarity level: 1),✔️,❌,10,4711,GravediggerShovel
Gray Zapinator item sprite,Gray Zapinator,42,Magic,6,4%,36,Green (Rarity level: 2),❌,❌,340,4347,ZapinatorGray
Green Phaseblade item sprite,Green Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,200,GreenPhaseblade
Green Phasesaber item sprite,Green Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,3766,GreenPhasesaber
Green Rocket item sprite,Green Rocket,-1,-,0,-,15,White (Rarity level: 0),✔️,✔️,3,971,GreenRocket
Grenade item sprite,Grenade,60,Ranged,8,4%,45,White (Rarity level: 0),❌,❌,15,168,Grenade
Grenade Launcher item sprite,Grenade Launcher,60,Ranged,4,4%,20,Yellow (Rarity level: 8),✔️,✔️,7,758,GrenadeLauncher
Gungnir item sprite,Gungnir,61,Melee,6.4,4%,22,Pink (Rarity level: 5),❌,✔️,460,550,Gungnir
Haemorrhaxe item sprite,Haemorrhaxe,30,Melee,7,4%,27,Light Red (Rarity level: 4),✔️,✔️,2,4317,BloodHamaxe
Hallowed Jousting Lance item sprite,Hallowed Jousting Lance,90,Melee,13,4%,24,Pink (Rarity level: 5),❌,✔️,460,4790,HallowJoustingLance
Hallowed Repeater item sprite,Hallowed Repeater,50,Ranged,2.5,4%,17,Light Red (Rarity level: 4),✔️,✔️,4,578,HallowedRepeater
Ham Bat item sprite,Ham Bat,57,Melee,6.5,4%,20,Light Red (Rarity level: 4),✔️,✔️,1,5096,HamBat
Hammush item sprite,Hammush,26,Melee,7.5,4%,27,Lime (Rarity level: 7),✔️,✔️,8,787,Hammush
Handgun item sprite,Handgun,26,Ranged,3,4%,15,Green (Rarity level: 2),❌,❌,175,164,Handgun
Happy Grenade item sprite,Happy Grenade,30,Ranged,6,4%,20,Green (Rarity level: 2),❌,❌,50,3548,PartyGirlGrenade
Harpoon item sprite,Harpoon,25,Ranged,6,4%,30,Green (Rarity level: 2),✔️,❌,54,160,Harpoon
Heat Ray item sprite,Heat Ray,90,Magic,3,4%,10,Lime (Rarity level: 7),✔️,✔️,7,1295,HeatRay
Hel-Fire item sprite,Hel-Fire,39,Melee,4.5,4%,25,Light Red (Rarity level: 4),❌,✔️,4,3290,HelFire
Hellwing Bow item sprite,Hellwing Bow,22,Ranged,5.5,4%,13,Orange (Rarity level: 3),✔️,❌,250,3019,HellwingBow
Hive-Five item sprite,Hive-Five,24,Melee,3.75,4%,25,Orange (Rarity level: 3),❌,❌,70,5294,HiveFive
Holy Water item sprite,Holy Water,20,-,3,-,15,Orange (Rarity level: 3),❌,✔️,40,422,HolyWater
Honey Bomb item sprite,Honey Bomb,100,-,12,-,25,Blue (Rarity level: 1),❌,❌,5,4826,HoneyBomb
Hornet Staff item sprite,Hornet Staff,12,Summon,2,-,22,Orange (Rarity level: 3),✔️,❌,70,2364,HornetStaff
Houndius Shootius item sprite,Houndius Shootius,24,Summon,7.5,-,30,Green (Rarity level: 2),❌,❌,150,5119,HoundiusShootius
Ice Blade item sprite,Ice Blade,17,Melee,4.75,6%,20,Blue (Rarity level: 1),✔️,❌,40,724,IceBlade
Ice Boomerang item sprite,Ice Boomerang,21,Melee,8.5,6%,20,Blue (Rarity level: 1),❌,❌,1,670,IceBoomerang
Ice Bow item sprite,Ice Bow,39,Ranged,4.5,4%,14,Pink (Rarity level: 5),✔️,✔️,5,725,IceBow
Ice Rod item sprite,Ice Rod,28,Magic,2,4%,9,Light Red (Rarity level: 4),✔️,✔️,10,496,IceRod
Ice Sickle item sprite,Ice Sickle,50,Melee,5.5,4%,25,Pink (Rarity level: 5),❌,✔️,5,1306,IceSickle
Imp Staff item sprite,Imp Staff,17,Summon,2,-,36,Orange (Rarity level: 3),✔️,❌,54,2365,ImpStaff
Inferno Fork item sprite,Inferno Fork,70,Magic,5,4%,30,Yellow (Rarity level: 8),✔️,✔️,6,1445,InfernoFork
Influx Waver item sprite,Influx Waver,100,Melee,4.5,4%,20,Yellow (Rarity level: 8),✔️,✔️,10,2880,InfluxWaver
Iron Axe item sprite,Iron Axe,5,Melee,4.5,4%,27,White (Rarity level: 0),✔️,❌,320,10,IronAxe
Iron Bow item sprite,Iron Bow,8,Ranged,0,4%,28,White (Rarity level: 0),❌,❌,280,99,IronBow
Iron Broadsword item sprite,Iron Broadsword,12,Melee,5.5,4%,20,White (Rarity level: 0),❌,❌,360,4,IronBroadsword
Iron Hammer item sprite,Iron Hammer,7,Melee,5.5,4%,30,White (Rarity level: 0),✔️,❌,320,7,IronHammer
Iron Pickaxe item sprite,Iron Pickaxe,5,Melee,2,4%,20,White (Rarity level: 0),✔️,❌,4,1,IronPickaxe
Iron Shortsword item sprite,Iron Shortsword,8,Melee,4,4%,12,White (Rarity level: 0),❌,❌,280,6,IronShortsword
Jack 'O Lantern Launcher item sprite,Jack 'O Lantern Launcher,85,Ranged,5,10%,25,Yellow (Rarity level: 8),✔️,✔️,10,1784,JackOLanternLauncher
Javelin item sprite,Javelin,17,Ranged,4.75,4%,24,White (Rarity level: 0),❌,❌,5,3094,Javelin
Jousting Lance item sprite,Jousting Lance,60,Melee,12,4%,24,Light Red (Rarity level: 4),❌,✔️,120,4788,JoustingLance
Kaleidoscope item sprite,Kaleidoscope,170,Summon,4,-,30,Yellow (Rarity level: 8),❌,✔️,5,4914,RainbowWhip
Katana item sprite,Katana,18,Melee,3.5,19%,20,Blue (Rarity level: 1),✔️,❌,1,2273,Katana
Keybrand item sprite,Keybrand,105,Melee,6.5,20%,20,Yellow (Rarity level: 8),✔️,✔️,4,671,Keybrand
Killing Deck item sprite,Killing Deck,22,Magic,5,4%,20,Light Red (Rarity level: 4),✔️,✔️,4,5461,DeadCellsKillingDeck
KO Cannon item sprite,KO Cannon,40,Melee,6.5,4%,28,Light Red (Rarity level: 4),✔️,✔️,350,1314,KOCannon
Kraken item sprite,Kraken,95,Melee,4.3,14%,25,Yellow (Rarity level: 8),❌,✔️,11,3291,Kraken
Land Mine item sprite,Land Mine,,-,,-,15,White (Rarity level: 0),✔️,✔️,1,937,LandMine
Laser Drill item sprite,Laser Drill,35,Melee,4.75,4%,25,Yellow (Rarity level: 8),❌,✔️,10,2798,LaserDrill
Laser Machinegun item sprite,Laser Machinegun,60,Magic,2,4%,20,Yellow (Rarity level: 8),❌,✔️,10,2795,LaserMachinegun
Laser Rifle item sprite,Laser Rifle,29,Magic,2.5,4%,12,Light Red (Rarity level: 4),✔️,✔️,3,514,LaserRifle
Last Prism item sprite,Last Prism,100,Magic,0.25,4%,10,Red (Rarity level: 10),❌,✔️,10,3541,LastPrism
Lava Bomb item sprite,Lava Bomb,100,-,12,-,25,Blue (Rarity level: 1),❌,❌,5,4825,LavaBomb
Lead Axe item sprite,Lead Axe,6,Melee,4.5,4%,28,White (Rarity level: 0),✔️,❌,480,3494,LeadAxe
Lead Bow item sprite,Lead Bow,9,Ranged,0,4%,27,White (Rarity level: 0),❌,❌,420,3492,LeadBow
Lead Broadsword item sprite,Lead Broadsword,13,Melee,5.5,4%,20,White (Rarity level: 0),❌,❌,540,3496,LeadBroadsword
Lead Hammer item sprite,Lead Hammer,8,Melee,5.5,4%,29,White (Rarity level: 0),✔️,❌,480,3493,LeadHammer
Lead Pickaxe item sprite,Lead Pickaxe,6,Melee,2,4%,19,White (Rarity level: 0),✔️,❌,6,3497,LeadPickaxe
Lead Shortsword item sprite,Lead Shortsword,9,Melee,4,4%,12,White (Rarity level: 0),❌,❌,420,3495,LeadShortsword
Leaf Blower item sprite,Leaf Blower,48,Magic,4,4%,7,Lime (Rarity level: 7),✔️,✔️,6,1178,LeafBlower
Leather Whip item sprite,Leather Whip,14,Summon,1,-,30,Blue (Rarity level: 1),❌,❌,2,4672,BlandWhip
Life Drain item sprite,Life Drain,35,Magic,2.5,4%,12,Pink (Rarity level: 5),✔️,✔️,8,3006,SoulDrain
Light Disc item sprite,Light Disc,60,Melee,8,4%,14,Pink (Rarity level: 5),✔️,✔️,15,561,LightDisc
Light's Bane item sprite,Light's Bane,16,Melee,5,4%,20,Blue (Rarity level: 1),❌,❌,27,46,LightsBane
Lightning Aura Cane item sprite,Lightning Aura Cane,11,Summon,0.25,-,30,Pink (Rarity level: 5),❌,✔️,5,3830,DD2LightningAuraT2Popper
Lightning Aura Rod item sprite,Lightning Aura Rod,4,Summon,0.25,-,30,Orange (Rarity level: 3),❌,❌,1,3829,DD2LightningAuraT1Popper
Lightning Aura Staff item sprite,Lightning Aura Staff,34,Summon,0.25,-,30,Yellow (Rarity level: 8),❌,✔️,15,3831,DD2LightningAuraT3Popper
Lucy the Axe item sprite,Lucy the Axe,27,Melee,5,14%,15,Green (Rarity level: 2),✔️,❌,150,5095,LucyTheAxe
Lunar Flare item sprite,Lunar Flare,100,Magic,4.5,4%,10,Red (Rarity level: 10),✔️,✔️,10,3570,LunarFlareBook
Lunar Portal Staff item sprite,Lunar Portal Staff,100,Summon,7.5,-,30,Red (Rarity level: 10),❌,✔️,10,3569,MoonlordTurretStaff
Mace item sprite,Mace,18,Melee,4.6,4%,45,Blue (Rarity level: 1),❌,❌,2,5011,Mace
Magic Dagger item sprite,Magic Dagger,30,Magic,3.75,4%,8,Light Red (Rarity level: 4),✔️,✔️,5,517,MagicDagger
Magic Missile item sprite,Magic Missile,35,Magic,7.5,4%,22,Green (Rarity level: 2),❌,❌,175,113,MagicMissile
Magical Harp item sprite,Magical Harp,42,Magic,2,4%,12,Pink (Rarity level: 5),✔️,✔️,4,494,MagicalHarp
Magnet Sphere item sprite,Magnet Sphere,48,Magic,6,4%,20,Yellow (Rarity level: 8),❌,✔️,10,1266,MagnetSphere
Malaise item sprite,Malaise,16,Melee,4.5,4%,25,Blue (Rarity level: 1),❌,❌,1,3279,CorruptYoyo
Mandible Blade item sprite,Mandible Blade,16,Melee,4.5,11%,15,Green (Rarity level: 2),✔️,❌,10,3772,AntlionClaw
Marrow item sprite,Marrow,53,Ranged,4.7,9%,19,Pink (Rarity level: 5),✔️,✔️,54,682,Marrow
Medusa Head item sprite,Medusa Head,40,Magic,2,4%,20,Light Red (Rarity level: 4),✔️,✔️,4,3269,MedusaHead
Megashark item sprite,Megashark,25,Ranged,1,4%,7,Pink (Rarity level: 5),✔️,✔️,7,533,Megashark
Meowmere item sprite,Meowmere,200,Melee,6.5,4%,14,Red (Rarity level: 10),✔️,✔️,20,3063,Meowmere
Meteor Hamaxe item sprite,Meteor Hamaxe,20,Melee,7,4%,30,Blue (Rarity level: 1),✔️,❌,30,204,MeteorHamaxe
Meteor Staff item sprite,Meteor Staff,50,Magic,4.5,4%,10,Pink (Rarity level: 5),✔️,✔️,2,2750,MeteorStaff
Minishark item sprite,Minishark,6,Ranged,0,4%,8,Green (Rarity level: 2),✔️,❌,7,98,Minishark
Molotov Cocktail item sprite,Molotov Cocktail,23,Ranged,7,4%,40,Blue (Rarity level: 1),❌,❌,1,2590,MolotovCocktail
Molten Fury item sprite,Molten Fury,31,Ranged,2,4%,22,Orange (Rarity level: 3),❌,❌,54,120,MoltenFury
Molten Hamaxe item sprite,Molten Hamaxe,20,Melee,7,4%,27,Orange (Rarity level: 3),✔️,❌,54,217,MoltenHamaxe
Molten Pickaxe item sprite,Molten Pickaxe,12,Melee,2,4%,23,Orange (Rarity level: 3),✔️,❌,54,122,MoltenPickaxe
Morning Star item sprite,Morning Star,160,Summon,11,-,35,Yellow (Rarity level: 8),❌,✔️,6,4679,MaceWhip
Mud Ball item sprite,Mud Ball,8,-,5.75,-,10,White (Rarity level: 0),✔️,❌,No value,5572,MudBallPlayer
Muramasa item sprite,Muramasa,24,Melee,3,4%,18,Green (Rarity level: 2),✔️,❌,175,155,Muramasa
Mushroom Spear item sprite,Mushroom Spear,60,Melee,6.2,4%,40,Lime (Rarity level: 7),❌,✔️,14,756,MushroomSpear
Mushroom Staff item sprite,Mushroom Staff,8,Summon,2,-,36,Green (Rarity level: 2),✔️,❌,30,5456,DeadCellsMushroomBoiSummonItem
Musket item sprite,Musket,31,Ranged,5.25,12%,32,Blue (Rarity level: 1),❌,❌,150,96,Musket
Mythril Chainsaw item sprite,Mythril Chainsaw,29,Melee,3,4%,15 (Very fast)  /,,,,,384,MythrilChainsaw
8 (Insanely fast),Light Red (Rarity level: 4),❌,✔️,162,,,,,,,,
Mythril Drill item sprite,Mythril Drill,15,Melee,0.5,4%,15,Light Red (Rarity level: 4),❌,✔️,162,386,MythrilDrill
Mythril Halberd item sprite,Mythril Halberd,45,Melee,5,4%,26,Light Red (Rarity level: 4),❌,✔️,135,390,MythrilHalberd
Mythril Pickaxe item sprite,Mythril Pickaxe,15,Melee,5,4%,25,Light Red (Rarity level: 4),✔️,✔️,162,777,MythrilPickaxe
Mythril Repeater item sprite,Mythril Repeater,39,Ranged,2,4%,20,Light Red (Rarity level: 4),✔️,✔️,180,436,MythrilRepeater
Mythril Sword item sprite,Mythril Sword,50,Melee,6,4%,20,Light Red (Rarity level: 4),✔️,✔️,27,484,MythrilSword
Mythril Waraxe item sprite,Mythril Waraxe,39,Melee,6,4%,35,Light Red (Rarity level: 4),✔️,✔️,162,992,MythrilWaraxe
Nail Gun item sprite,Nail Gun,85,Ranged,0,4%,15,Yellow (Rarity level: 8),✔️,✔️,10,3107,NailGun
Nebula Arcanum item sprite,Nebula Arcanum,70,Magic,5,4%,30,Red (Rarity level: 10),✔️,✔️,10,3476,NebulaArcanum
Nebula Axe item sprite,Nebula Axe,100,Melee,6,4%,25,Red (Rarity level: 10),✔️,✔️,6,2777,NebulaAxe
Nebula Blaze item sprite,Nebula Blaze,130,Magic,3,4%,12,Red (Rarity level: 10),✔️,✔️,10,3542,NebulaBlaze
Nebula Chainsaw item sprite,Nebula Chainsaw,80,Melee,4,4%,15,Red (Rarity level: 10),❌,✔️,6,2778,NebulaChainsaw
Nebula Drill item sprite,Nebula Drill,50,Melee,0.5,4%,15,Red (Rarity level: 10),❌,✔️,7,2779,NebulaDrill
Nebula Hamaxe item sprite,Nebula Hamaxe,60,Melee,7,4%,28,Red (Rarity level: 10),✔️,✔️,5,3524,LunarHamaxeNebula
Nebula Hammer item sprite,Nebula Hammer,110,Melee,7,4%,30,Red (Rarity level: 10),✔️,✔️,8,2780,NebulaHammer
Nebula Pickaxe item sprite,Nebula Pickaxe,80,Melee,5.5,4%,12,Red (Rarity level: 10),✔️,✔️,7,2781,NebulaPickaxe
Nettle Burst item sprite,Nettle Burst,35,Magic,1,4%,25,Lime (Rarity level: 7),✔️,✔️,4,788,NettleBurst
Night's Edge item sprite,Night's Edge,40,Melee,4.5,4%,25,Orange (Rarity level: 3),✔️,❌,4,273,NightsEdge
Nightglow item sprite,Nightglow,50,Magic,2.5,4%,36,Yellow (Rarity level: 8),✔️,✔️,5,4952,FairyQueenMagicItem
Nightmare Pickaxe item sprite,Nightmare Pickaxe,9,Melee,3,4%,20,Blue (Rarity level: 1),✔️,❌,36,103,NightmarePickaxe
Nimbus Rod item sprite,Nimbus Rod,30,Magic,0,4%,22,Light Purple (Rarity level: 6),❌,✔️,350,1244,NimbusRod
North Pole item sprite,North Pole,80,Melee,6.7,4%,30,Lime (Rarity level: 7),❌,✔️,9,1947,NorthPole
Obsidian Swordfish item sprite,Obsidian Swordfish,70,Melee,6.5,24%,20,Lime (Rarity level: 7),❌,✔️,1,2331,ObsidianSwordfish
Onyx Blaster item sprite,Onyx Blaster,24,Ranged,6.5,4%,48,Light Red (Rarity level: 4),❌,✔️,5,3788,OnyxBlaster
Optic Staff item sprite,Optic Staff,24,Summon,2,-,36,Pink (Rarity level: 5),✔️,✔️,2,2535,OpticStaff
Orange Phaseblade item sprite,Orange Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,4258,OrangePhaseblade
Orange Phasesaber item sprite,Orange Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,4259,OrangePhasesaber
Orange Zapinator item sprite,Orange Zapinator,100,Magic,6,4%,36,Pink (Rarity level: 5),❌,✔️,10,4348,ZapinatorOrange
Orichalcum Chainsaw item sprite,Orichalcum Chainsaw,31,Melee,3.75,4%,15,Light Red (Rarity level: 4),❌,✔️,198,1197,OrichalcumChainsaw
Orichalcum Drill item sprite,Orichalcum Drill,17,Melee,0.5,4%,15,Light Red (Rarity level: 4),❌,✔️,198,1196,OrichalcumDrill
Orichalcum Halberd item sprite,Orichalcum Halberd,46,Melee,5.5,4%,25,Light Red (Rarity level: 4),❌,✔️,165,1193,OrichalcumHalberd
Orichalcum Pickaxe item sprite,Orichalcum Pickaxe,17,Melee,5,4%,25,Light Red (Rarity level: 4),✔️,✔️,198,1195,OrichalcumPickaxe
Orichalcum Repeater item sprite,Orichalcum Repeater,40,Ranged,2,4%,19,Light Red (Rarity level: 4),✔️,✔️,220,1194,OrichalcumRepeater
Orichalcum Sword item sprite,Orichalcum Sword,59,Melee,6,4%,22,Light Red (Rarity level: 4),✔️,✔️,253,1192,OrichalcumSword
Orichalcum Waraxe item sprite,Orichalcum Waraxe,41,Melee,6.5,4%,35,Light Red (Rarity level: 4),✔️,✔️,198,1223,OrichalcumWaraxe
Paintball Gun item sprite,Paintball Gun,12,Ranged,1.25,11%,24,Green (Rarity level: 2),❌,❌,50,3350,PainterPaintballGun
Paladin's Hammer item sprite,Paladin's Hammer,100,Melee,9,4%,15,Yellow (Rarity level: 8),✔️,✔️,10,1513,PaladinsHammer
Palladium Chainsaw item sprite,Palladium Chainsaw,26,Melee,2.9,4%,15,Light Red (Rarity level: 4),❌,✔️,144,1190,PalladiumChainsaw
Palladium Drill item sprite,Palladium Drill,12,Melee,0.5,4%,15,Light Red (Rarity level: 4),❌,✔️,144,1189,PalladiumDrill
Palladium Pickaxe item sprite,Palladium Pickaxe,12,Melee,5,4%,25,Light Red (Rarity level: 4),✔️,✔️,144,1188,PalladiumPickaxe
Palladium Pike item sprite,Palladium Pike,44,Melee,4.5,4%,27,Light Red (Rarity level: 4),❌,✔️,120,1186,PalladiumPike
Palladium Repeater item sprite,Palladium Repeater,37,Ranged,1.75,4%,22,Light Red (Rarity level: 4),✔️,✔️,160,1187,PalladiumRepeater
Palladium Sword item sprite,Palladium Sword,49,Melee,5.5,4%,22,Light Red (Rarity level: 4),✔️,✔️,184,1185,PalladiumSword
Palladium Waraxe item sprite,Palladium Waraxe,36,Melee,5.5,4%,35,Light Red (Rarity level: 4),✔️,✔️,144,1222,PalladiumWaraxe
Palm Wood Bow item sprite,Palm Wood Bow,6,Ranged,0,4%,29,White (Rarity level: 0),❌,❌,20,2515,PalmWoodBow
Palm Wood Hammer item sprite,Palm Wood Hammer,4,Melee,5.5,4%,33,White (Rarity level: 0),✔️,❌,10,2516,PalmWoodHammer
Palm Wood Sword item sprite,Palm Wood Sword,8,Melee,6,4%,19,White (Rarity level: 0),❌,❌,20,2517,PalmWoodSword
Paper Airplane item sprite,Paper Airplane,4,Ranged,2,4%,17,White (Rarity level: 0),❌,❌,10,4343,PaperAirplaneA
Pearlwood Bow item sprite,Pearlwood Bow,12,Ranged,0,4%,20,White (Rarity level: 0),❌,✔️,20,661,PearlwoodBow
Pearlwood Hammer item sprite,Pearlwood Hammer,10,Melee,5.5,4%,29,White (Rarity level: 0),✔️,✔️,10,660,PearlwoodHammer
Pearlwood Sword item sprite,Pearlwood Sword,30,Melee,7,4%,15,White (Rarity level: 0),✔️,✔️,20,659,PearlwoodSword
Pew-matic Horn item sprite,Pew-matic Horn,20,Ranged,1,4%,15,Green (Rarity level: 2),✔️,❌,150,5117,PewMaticHorn
Phantasm item sprite,Phantasm,50,Ranged,2,4%,12 (Very fast),,,,,3540,Phantasm
(see notes for more info),Red (Rarity level: 10),✔️,✔️,10,,,,,,,,
Phantom Phoenix item sprite,Phantom Phoenix,32,Ranged,2,4%,18,Pink (Rarity level: 5),✔️,✔️,1,3854,DD2PhoenixBow
Phoenix Blaster item sprite,Phoenix Blaster,30,Ranged,2,4%,14,Orange (Rarity level: 3),❌,❌,350,219,PhoenixBlaster
Pickaxe Axe item sprite,Pickaxe Axe,35,Melee,4.75,4%,25,Light Red (Rarity level: 4),✔️,✔️,440,990,PickaxeAxe
Picksaw item sprite,Picksaw,34,Melee,5.5,4%,16,Lime (Rarity level: 7),✔️,✔️,432,1294,Picksaw
Pink Phaseblade item sprite,Pink Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,5535,PinkPhaseblade
Pink Phasesaber item sprite,Pink Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,5536,PinkPhasesaber
Piranha Gun item sprite,Piranha Gun,40,Ranged,1,4%,30,Yellow (Rarity level: 8),❌,✔️,20,1156,PiranhaGun
Pirate Staff item sprite,Pirate Staff,40,Summon,6,-,36,Pink (Rarity level: 5),✔️,✔️,1,2584,PirateStaff
Platinum Axe item sprite,Platinum Axe,8,Melee,4.5,4%,25,White (Rarity level: 0),✔️,❌,24,3482,PlatinumAxe
Platinum Bow item sprite,Platinum Bow,13,Ranged,0,4%,25,White (Rarity level: 0),❌,❌,21,3480,PlatinumBow
Platinum Broadsword item sprite,Platinum Broadsword,16,Melee,6.5,4%,17,White (Rarity level: 0),❌,❌,27,3484,PlatinumBroadsword
Platinum Hammer item sprite,Platinum Hammer,10,Melee,5.5,4%,27,White (Rarity level: 0),✔️,❌,24,3481,PlatinumHammer
Platinum Pickaxe item sprite,Platinum Pickaxe,7,Melee,2,4%,19,White (Rarity level: 0),✔️,❌,30,3485,PlatinumPickaxe
Platinum Shortsword item sprite,Platinum Shortsword,13,Melee,5,4%,10,White (Rarity level: 0),❌,❌,21,3483,PlatinumShortsword
Poison Staff item sprite,Poison Staff,43,Magic,5.6,4%,36,Light Purple (Rarity level: 6),✔️,✔️,4,1308,PoisonStaff
Poisoned Knife item sprite,Poisoned Knife,14,Ranged,2.4,8%,15,White (Rarity level: 0),✔️,❌,12,287,PoisonedKnife
Possessed Hatchet item sprite,Possessed Hatchet,80,Melee,5,4%,14,Lime (Rarity level: 7),✔️,✔️,7,1122,PossessedHatchet
Possession item sprite,Possession,110,Summon,4,-,30,Red (Rarity level: 10),❌,✔️,10,5480,MoonLordWhip
Power Bomb item sprite,Power Bomb,200,-,9,-,40,Light Red (Rarity level: 4),❌,❌,2,5594,SuperBomb
Pretty Mirror item sprite,Pretty Mirror,13,-,3,-,25,Blue (Rarity level: 1),❌,❌,20,5577,PrettyMirror
Proximity Mine Launcher item sprite,Proximity Mine Launcher,80,Ranged,4,4%,50,Yellow (Rarity level: 8),✔️,✔️,7,760,ProximityMineLauncher
Psycho Knife item sprite,Psycho Knife,85,Melee,3.5,4%,8,Yellow (Rarity level: 8),✔️,✔️,10,3106,PsychoKnife
Pulse Bow item sprite,Pulse Bow,80,Ranged,3,11%,20,Yellow (Rarity level: 8),✔️,✔️,9,2223,PulseBow
Purple Clubberfish item sprite,Purple Clubberfish,35,Melee,8,4%,35,Blue (Rarity level: 1),✔️,❌,1,2330,PurpleClubberfish
Purple Phaseblade item sprite,Purple Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,201,PurplePhaseblade
Purple Phasesaber item sprite,Purple Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,3767,PurplePhasesaber
Pwnhammer item sprite,Pwnhammer,26,Melee,7.5,4%,27,Light Red (Rarity level: 4),✔️,✔️,78,367,Pwnhammer
Pygmy Staff item sprite,Pygmy Staff,40,Summon,3,-,28,Lime (Rarity level: 7),✔️,✔️,7,1157,PygmyStaff
Quad-Barrel Shotgun item sprite,Quad-Barrel Shotgun,14,Ranged,6.5,4%,55,Orange (Rarity level: 3),❌,❌,7,4703,QuadBarrelShotgun
Queen Spider Staff item sprite,Queen Spider Staff,26,Summon,7.5,-,30,Light Red (Rarity level: 4),❌,✔️,5,2366,QueenSpiderStaff
Rainbow Crystal Staff item sprite,Rainbow Crystal Staff,130,Summon,7.5,-,30,Red (Rarity level: 10),❌,✔️,10,3571,RainbowCrystalStaff
Rainbow Gun item sprite,Rainbow Gun,45,Magic,2.5,4%,40,Yellow (Rarity level: 8),❌,✔️,20,1260,RainbowGun
Rainbow Phaseblade item sprite,Rainbow Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,5670,RainbowPhaseblade
Rainbow Phasesaber item sprite,Rainbow Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,5671,RainbowPhasesaber
Rainbow Rod item sprite,Rainbow Rod,50,Magic,6,4%,25,Pink (Rarity level: 5),❌,✔️,4,495,RainbowRod
Rally item sprite,Rally,14,Melee,3.5,4%,25,Blue (Rarity level: 1),❌,❌,50,3285,Rally
Raven Staff item sprite,Raven Staff,55,Summon,3,-,28,Yellow (Rarity level: 8),✔️,✔️,10,1802,RavenStaff
Razorblade Typhoon item sprite,Razorblade Typhoon,85,Magic,5,4%,40,Yellow (Rarity level: 8),✔️,✔️,5,2622,RazorbladeTyphoon
Razorpine item sprite,Razorpine,48,Magic,3.25,4%,8,Yellow (Rarity level: 8),✔️,✔️,9,1930,Razorpine
Reaver Shark item sprite,Reaver Shark,16,Melee,3,4%,22,Orange (Rarity level: 3),✔️,❌,150,2341,ReaverShark
Red Phaseblade item sprite,Red Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,199,RedPhaseblade
Red Phasesaber item sprite,Red Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,3765,RedPhasesaber
Red Rocket item sprite,Red Rocket,-1,-,0,-,15,White (Rarity level: 0),✔️,✔️,3,970,RedRocket
Red Ryder item sprite,Red Ryder,20,Ranged,3.75,4%,38,Blue (Rarity level: 1),✔️,❌,2,1870,RedRyder
Red's Throw item sprite,Red's Throw,70,Melee,4.5,4%,25,Cyan (Rarity level: 9),❌,✔️,4,3287,RedsYoyo
Resonance Scepter item sprite,Resonance Scepter,70,Magic,5,4%,25,Pink (Rarity level: 5),✔️,✔️,10,5065,PrincessWeapon
Revolver item sprite,Revolver,20,Ranged,4.5,4%,22,Green (Rarity level: 2),❌,❌,3,2269,Revolver
Rich Mahogany Bow item sprite,Rich Mahogany Bow,6,Ranged,0,4%,29,White (Rarity level: 0),❌,❌,20,658,RichMahoganyBow
Rich Mahogany Hammer item sprite,Rich Mahogany Hammer,4,Melee,5.5,4%,33,White (Rarity level: 0),✔️,❌,10,657,RichMahoganyHammer
Rich Mahogany Sword item sprite,Rich Mahogany Sword,8,Melee,6,4%,19,White (Rarity level: 0),❌,❌,20,656,RichMahoganySword
